Indicator,Mean,Std,Min,Max
CO_2EmissionsPerCapita,4.71826123204985,8.91413201667558,0,202.865184351252
GDPcurrentInUS,1582076398816.63,6284139909900.41,9542900.90136505,88492389499432.2
GDPperCapitaUS,11808.3417288956,19703.127054544,22.9521327615352,204263.797114294
PopulationTotal,264202173.376955,830441018.230194,8798,7855075060
EnergyUsePerCapitaKgOilEq,1995.43872310998,2550.20449751966,0,21557.4750763638
UrbanPopulationPercentage,55.6654681308502,23.49175751228,5.416,100
EducationExpenditurePercentageGDP,4.29211910740971,2.33226759971402,0,44.3339805603027
RenewableEnergySharePercentage,31.3058176346613,29.5731185650659,0,98.3
MotorVehiclesPer1000People,41.0335761876295,56.205068282717,0.3,290
ElectricityFromCoalPerc,15.6468126821478,24.7970105014375,0,100
ElectricityFromNuclearPerc,4.24823748000892,11.4307069705689,0,86.821046668083
ElectricityFromRenewablesPerc,3.38907015593776,8.71772336895586,-71.056856187291,97.2772277227723
ElectricityFromFossilFuelsPerc,64.8851552463345,32.2628824797976,0,100
