PredictedCO2_Base,PredictedCO2_GDP10pct,PctChange
80585953.4327642,80585953.4327642,1.84910155667268e-14
88042283.3918548,88042283.3918548,3.38500107443289e-14
84925764.9968569,84925764.9968569,3.50922036307807e-14
313393110.467219,313393110.467219,1.90191305375315e-14
421199550.173487,421199550.173487,2.83023306890239e-14
10168894.0188237,10168894.0188237,7.32683474046638e-14
7823713.69138891,7823713.69138892,5.95192137233069e-14
13267306.3555875,13267306.3555875,5.61574474669911e-14
13482290.7111506,13482290.7111506,5.52619785209186e-14
11468934.5479885,11468934.5479886,4.87223588582856e-14
31399596.7137698,31399596.7137698,3.5592402658104e-14
156072780.708498,156072780.708498,3.81902882134946e-14
147718704.847223,147718704.847223,4.0350099763626e-14
197058954.278603,197058954.278603,3.024711310054e-14
239677398.617934,239677398.617934,2.48686964724635e-14
85496810.7828404,85496810.7828404,1.74289088182438e-14
3824541.86675544,3824541.86675545,1.21756096162907e-13
6482379.12785708,6482379.12785709,1.14935896990444e-13
7393637.68714157,7393637.68714158,1.00770160943662e-13
11577227.3208861,11577227.3208861,9.65332249736836e-14
20074642.193412,20074642.1934121,7.4228776036356e-14
20837751.3191693,20837751.3191693,7.15104089957135e-14
25141261.7417261,25141261.7417261,5.92697428908935e-14
8338931.54588701,8338931.54588706,5.36081671081614e-13
8545453.62972726,8545453.6297273,5.2312592775686e-13
10203460.8692781,10203460.8692781,4.74630858102476e-13
9587435.4059839,9587435.40598394,4.46843567838521e-13
24515580.3649589,24515580.364959,3.9508568150584e-13
5975007.32449912,5975007.32449912,7.79348479454417e-14
5232537.01947217,5232537.01947218,7.11947241767952e-14
13442351.1256966,13442351.1256966,5.54261715622141e-14
20857306.1722712,20857306.1722712,3.57216820589661e-14
21279692.9798888,21279692.9798888,7.00252640295638e-14
19152031.6164357,19152031.6164357,5.83534484445764e-14
33186175.0200008,33186175.0200009,4.49017133938061e-14
34391267.6499918,34391267.6499918,4.33283278345549e-14
36860302.1485875,36860302.1485875,4.04260419075775e-14
42179861.3834869,42179861.383487,5.29915012938426e-14
48855257.9263081,48855257.9263081,4.57509441961932e-14
3064752.50911857,3064752.50911858,1.36746819630632e-13
2579367.64094966,2579367.64094966,1.26373183853468e-13
2722924.30711992,2722924.30711992,1.02609085259577e-13
21713048.6524924,21713048.6524925,6.86276783713518e-14
31984186.4184699,31984186.4184699,4.65891518980227e-14
25665139.992352,25665139.992352,5.80599256356601e-14
26323176.7621232,26323176.7621233,4.2456391173374e-14
757323.83616855,757323.836168564,1.81388823638201e-12
747604.997610947,747604.997610961,1.77518164414104e-12
562656.518141693,562656.518141703,1.65522400360951e-12
1595904.19404793,1595904.19404795,1.25467652938767e-12
1803463.14880083,1803463.14880085,1.20064831234326e-12
1899273.3937429,1899273.39374293,1.06652712898629e-12
2159456.38557268,2159456.3855727,9.91935718603337e-13
10736711.119021,10736711.119021,1.73483772505634e-14
10960524.1589237,10960524.1589237,1.69941247537369e-14
8304838.19115736,8304838.19115736,1.12142169802551e-14
15754821.2881757,15754821.2881757,1.18226993195341e-14
32872680.1249225,32872680.1249225,1.13324812102484e-14
51659977.6451446,51659977.6451446,0
65459892.7662243,65459892.7662243,1.13819016226194e-14
91268571.5027147,91268571.5027147,1.63267167969255e-14
3730016.84041379,3730016.8404138,2.87135690435378e-13
3436476.96697483,3436476.96697484,2.71010858959818e-13
14229570.6535425,14229570.6535426,2.09439364779962e-13
20535952.0113939,20535952.0113939,1.81403340658131e-13
31188429.9691772,31188429.9691772,1.67222473943092e-13
24637516.3887779,24637516.3887779,1.36083573348443e-13
20216591.5997204,20216591.5997204,1.2898827164117e-13
