Country,TotalVehicles,NewEVs,AvoidedPerEV_kgPerYear,Reduction_tonnesPerYear,BaselineCO2_tonnesPerYear,PctReduction
"Congo, Dem. Rep.",479949.99,143984.997,4548.7,654944.5558539,1771140.2500974,36.9786952680841
"Somalia",349675.011,104902.5033,4539.25,476178.688104525,1291052.59186365,36.8829814606665
"Liberia",15448.389,4634.5167,4505.5,20880.81499185,57142.0460721,36.5419449025386
"Uganda",355657.216,106697.1648,4486.6,478707.49959168,1316884.86053888,36.3515075566887
"Gabon",48773.319,14631.9957,4482.55,65588.652325035,180631.49918331,36.3107501302825
"Ethiopia",356753.013,107025.9039,4474.45,478882.055705355,1321809.15599643,36.2292887390658
"Guinea-Bissau",66437.415,19931.2245,4427.2,88239.5171064,246785.7642624,35.7555134390076
"Zambia",400247.295,120074.1885,4402.9,528674.64454665,1488687.7939689,35.5127950056729
"Madagascar",752792.456,225837.7368,4393.45,992206.80474396,2801374.09443736,35.4185757166159
"Zimbabwe",1770065.232,531019.5696,4385.35,2328706.66954536,6589828.95416976,35.3378924664176
"Bhutan",16170.126,4851.0378,4382.65,21260.40081417,60208.97905722,35.3110136512447
"Burundi",75702.216,22710.6648,4375.9,99379.59809832,281977.12820112,35.2438507095645
"Iceland",7695.723,2308.7169,4369.15,10087.130443635,28675.57217091,35.1767364344622
"Niger",177705.628157745,53311.6884473236,4355.65,232207.055785585,662641.185668572,35.0426536725603
"Nigeria",6633881.611,1990164.4833,4354.3,8665773.20963319,24738673.2708445,35.0292560751272
"Rwanda",61615.0344149876,18484.5103244963,4352.95,80462.149217016,229787.725497599,35.0158604175996
"Eritrea",36203.981,10861.1943,4342.15,47160.934829745,135097.68938017,34.908764943442
"Tanzania",426809.586,128042.8758,4340.8,555808.51527264,1592785.08541824,34.895386726119
"Mozambique",369404.256,110821.2768,4332.7,480155.34599136,1379156.01360576,34.8151580571373
"Cameroon",366947.812,110084.3436,4315.15,475030.45528554,1371272.96500964,34.6415679012676
"Haiti",236120.808,70836.2424,4280.05,303182.65928412,884033.94394392,34.2953640367629
"Togo",17339.44,5201.832,4278.7,22257.0785784,64923.3716144,34.282074428592
"Sierra Leone",47475.348,14242.6044,4263.85,60728.32877094,177901.04828604,34.1360151365142
"Burkina Faso",251735.03576114,75520.510728342,4236.85,319969.075879376,944668.447248327,33.8710451070316
"Nepal",608298.054,182489.4162,4236.85,773180.28302697,2282717.52638202,33.8710451070316
"Mali",303993.704,91198.1112,4232.8,386023.36508736,1141022.12834176,33.8313653608423
"Chad",103348.074,31004.4222,4220.65,130858.81455843,388161.93069438,33.7124288114338
"Malawi",156271.104,46881.3312,4215.25,197616.5313408,587102.7241728,33.6596175088835
"Congo, Rep.",155325.357,46597.6071,4213.9,196357.65655869,583591.53782754,33.6464194271296
"Kenya",1245523.30720104,373656.992160312,4181.5,1562446.71271835,4687776.07131256,33.3302335467758
"Guinea",280794.843,84238.4529,4138.3,348603.98963607,1059253.61804262,32.910342121866
"Guatemala",364503.825,109351.1475,4134.25,452084.981551875,1375327.60729875,32.8710758914965
"Eswatini",25047.309,7514.1927,4109.95,30882.956287365,94628.98387509,32.6358320914979
"Sudan",1263309.237,378992.7711,4095.1,1552013.29693161,4776546.95891226,32.4923697030928
"Cote d'Ivoire",578308.98,173492.694,4084.3,708596.2101042,2187823.8345972,32.3881749023298
"Paraguay",138678.519,41603.5557,4080.25,169752.908144925,524752.58197005,32.34913252025
"Uruguay",71378.328,21413.4984,4076.2,87285.70217808,270149.84068128,32.3101068495757
"Norway",112968.975,33890.6925,4072.15,138007.983463875,427651.96269075,32.2710978795796
"Angola",1271143.016,381342.9048,4061.35,1548767.00640948,4814746.53599368,32.1671555258691
"Myanmar",1113346.962,334004.0886,4049.2,1352449.35555912,4219763.12149392,32.0503619899951
"Sweden",217422.282,65226.6846,4030.3,262883.10694338,824887.09257108,31.8689805321117
"Liechtenstein",816.921,245.0763,3995.2,979.12883376,3105.08404416,31.5330863781781
"Papua New Guinea",206130.666,61839.1998,3973.6,245724.24432528,784384.90071648,31.3269982760795
"Nicaragua",137870.607,41361.1821,3954.7,163571.06685087,525157.41429942,31.1470546539041
"Cambodia",351234.954,105370.4862,3943.9,415570.66052418,1338633.68138388,31.044389985359
"Comoros",26471.379,7941.4137,3935.8,31255.81604046,100931.13270636,30.9674678192633
"Lao PDR",154277.193,46283.1579,3933.1,182036.28833649,588317.56224234,30.9418416208193
"Honduras",212512.44,63753.732,3927.7,250405.5331764,810620.2018824,30.8906109908087
"Brazil",4381877.682,1314563.3046,3925,5159660.970555,16716863.35683,30.8650065530799
"Gambia, The",17610.131,5283.0393,3922.3,20721.66504639,67192.15923574,30.8394093627639
"Sri Lanka",460299,138089.7,3915.55,540697.124835,1756910.65011,30.7754480742175
"Solomon Islands",15634.458,4690.3374,3911.5,18346.2547401,59687.6703066,30.7370930141184
"Finland",116120.403,34836.1209,3888.55,135461.997925695,443845.85518287,30.5200547315876
"Benin",287543.718,86263.1154,3873.7,334157.43012498,1099929.48271668,30.3798957456487
"Albania",59594.829,17878.4487,3849.4,68821.30042578,228255.34644948,30.1510135452675
"Latvia",39909.429,11972.8287,3841.3,45991.22688531,152922.55547646,30.074848502247
"Lesotho",46950.267,14085.0801,3833.2,53990.92903932,179977.27550712,29.9987478347977
"Pakistan",4935036.666,1480510.9998,3826.45,5665101.31518471,18924434.4534769,29.9353797288452
"Kiribati",2648.079,794.4237,3819.7,3034.46020689,10158.18992874,29.8720562243552
"Sao Tome and Principe",434.87,130.461,3811.6,497.2651476,1668.8919016,29.7961268266244
"Estonia",27919.962,8375.9886,3795.4,31790.22713244,107238.34044504,29.6444601814149
"Ghana",956634.27,286990.281,3790,1087693.16499,3675388.86534,29.5939614783967
"Montenegro",13158.39,3947.517,3784.6,14939.7728382,50568.7454412,29.5434911581336
"Denmark",122459.484,36737.8452,3783.25,138988.4528529,470654.6578314,29.5308780100693
"Tajikistan",204735.51,61420.653,3773.8,231789.2602914,787257.1724724,29.4426355702115
"Senegal",369362.818,110808.8454,3772.45,418020.82882923,1420388.41024718,29.4300365881249
"Bosnia and Herzegovina",69286.329,20785.8987,3758.95,78133.153918365,266628.34412109,29.3041440046151
"Costa Rica",105720.72,31716.216,3741.4,118663.0505424,407206.6116384,29.1407475102032
"India",29454971.595,8836491.4785,3737.35,33025061.427172,113476161.718885,29.1030829091532
"Austria",187254.144,56176.2432,3733.3,209722.76873856,721553.88324096,29.0654341428475
"Samoa",4450.824,1335.2472,3730.6,4981.27320432,17152.94159712,29.04034375746
"South Sudan",224667.807,67400.3421,3692.8,248895.98330688,867541.25666208,28.6898151984752
"Croatia",82198.326,24659.4978,3687.4,90929.43218772,317492.67814152,28.6398517030333
"Colombia",1063229.937,318968.9811,3682,1174443.7884102,4107895.1845932,28.5899161403872
"Fiji",19214.223,5764.2669,3679.3,21208.46720517,74246.44766322,28.5649588265436
"Lithuania",59017.749,17705.3247,3677.95,65119.298980365,228068.77941309,28.5524827852117
"Peru",689610.159,206883.0477,3676.6,760626.21317382,2665122.58928412,28.5400084871192
"Belize",8207.052,2462.1156,3673.9,9045.56650284,31722.06153144,28.5150651191911
"Portugal",216238.701,64871.6103,3672.55,238244.232407265,835868.53632849,28.5025960486251
"Namibia",291399.196919881,87419.7590759642,3671.2,320935.41951968,1126479.359485,28.4901287198378
"Venezuela, RB",597325.617,179197.6851,3671.2,657870.54153912,2309117.47717392,28.4901287198377
"Kyrgyz Republic",141258.516,42377.5548,3655,154889.962794,546529.198404,28.3406565003877
"Philippines",2353706.544,706111.9632,3642.85,2572259.96514312,9112210.12563792,28.2287165207688
"New Zealand",106894.2,32068.26,3637.45,116646.692337,413948.858442,28.1790105125616
"Panama",90158.481,27047.5443,3634.75,98311.061644425,349188.30483705,28.1541679038484
"Botswana",314663.902,94399.1706,3623.95,342097.87429587,1219388.69966942,28.054866703998
"Djibouti",23208.948,6962.6844,3621.25,25213.6208835,89952.080211,28.0300586983165
"Bangladesh",3492258.504,1047677.5512,3617.2,3789659.23820064,13537949.6262662,27.9928596487608
"Chile",406783.104,122034.9312,3610.45,440601.01735104,1577468.26683264,27.9308957660183
"Switzerland",181401.507,54420.4521,3606.4,196261.91845344,703605.65323104,27.8937381404175
"Serbia",144881.646,43464.4938,3601,156515.6421738,562111.8101508,27.8442187741636
"Vanuatu",6276.018,1882.8054,3601,6779.9822454,24349.6946364,27.8442187741636
"Cuba",234703.434,70411.0302,3580.75,252124.29638865,911552.9321409,27.6587664302174
"Romania",404570.25,121371.075,3575.35,433944.07300125,1571727.1013325,27.6093777751465
"Canada",798601.398,239580.4194,3572.65,855936.98536941,3102941.77388706,27.584693743614
"El Salvador",130928.133,39278.4399,3569.95,140222.066521005,508788.03411933,27.5600165722682
"Cabo Verde",10808.259,3242.4777,3565.9,11562.35123043,42009.75724638,27.5230136718448
"Georgia",78177.036,23453.1108,3565.9,83631.44780172,303860.06706552,27.5230136718448
"Slovenia",44150.799,13245.2397,3556.45,47106.032731065,171689.65357929,27.4367335183133
"Moldova",55337.73,16601.319,3551.05,58952.11383495,215252.1487767,27.3874682180786
"Indonesia",5771112.186,1731333.6558,3545.65,6138703.17668727,22454647.2711418,27.3382302672667
"Kosovo",37593.171,11277.9513,3534.85,39865.866152805,146351.34249813,27.2398363228642
"St. Martin (French part)",667.506,200.2518,3534.85,707.86007523,2598.62088318,27.2398363228642
"San Marino",730.17,219.051,3534.85,774.31242735,2842.5737151,27.2398363228642
"Bulgaria",137564.616,41269.3848,3534.85,145881.08486028,535543.17702648,27.2398363228642
"Monaco",799.05,239.715,3534.85,847.35656775,3110.7256215,27.2398363228642
"Mauritania",96602.751,28980.8253,3532.15,102364.622083395,376129.57321107,27.2152548946083
"Andorra",1624.98,487.494,3532.15,1721.9019321,6326.9733786,27.2152548946083
"Thailand",1504471.164,451341.3492,3532.15,1594205.34657678,5857763.79001548,27.2152548946083
"Luxembourg",13238.799,3971.6397,3530.8,14023.06545276,51549.76509816,27.2029667372054
"Ecuador",368467.365,110540.2095,3522.7,389399.99600565,1435349.8816629,27.1292735646111
"Greece",224670.579,67401.1737,3521.35,237343.123008495,875255.91472767,27.1169973278436
"North Macedonia",38978.604,11693.5812,3520,41161.405824,151860.641184,27.1047227926078
"Spain",994547.904,298364.3712,3510.55,1047423.04331616,3876638.32952256,27.0188486591464
"Viet Nam",2059663.011,617898.9033,3505.15,2165828.34090199,8030564.28999867,26.9698151050149
"Italy",1248215.871,374464.7613,3502.45,1311544.10321518,4867430.27112321,26.9453085131209
"Germany",1746378.291,523913.4873,3499.75,1833566.22717818,6810962.65381455,26.9208087075807
"Afghanistan",820448.559,246134.5677,3495.7,860412.60830889,3200454.96586074,26.8840717175187
"Slovak Republic",114635.367,34390.6101,3487.6,119940.69178476,447362.22701016,26.8106434882434
"Czechia",224655.018,67396.5054,3479.5,234506.1405393,877075.6557738,26.7372761968187
"Bolivia",248142.279,74442.6837,3478.15,258922.820311155,968839.26985923,26.7250542341018
"France",1419623.31,425886.993,3476.8,1480723.8972624,5543117.9611584,26.7128339616456
"Poland",787830.708,236349.2124,3467.35,819505.44161514,3077684.29572324,26.6273393523152
"Dominican Republic",231174.3,69352.29,3466,240375.03714,903151.75524,26.6151325893314
"West Bank and Gaza",100868.649,30260.5947,3452.5,104474.70320175,394345.9832655,26.4931576927996
"Cyprus",27347.187,8204.1561,3452.5,28324.84893525,106913.8275765,26.4931576927996
"China",29633100,8889930,3451.15,30680481.9195,115858605.387,26.4809694687923
"Hungary",203078.799,60923.6397,3449.8,210174.37223706,794046.22724196,26.4687829280519
"Suriname",12858.657,3857.5971,3447.1,13297.52296341,50284.80689106,26.4444148949772
"Ireland",105834.687,31750.4061,3434.95,109061.057433195,414132.18857787,26.3348419758702
"Turkiye",1751078.28,525323.484,3434.95,1804459.9013658,6851986.8204228,26.3348419758702
"United Kingdom",1401624,420487.2,3433.6,1443784.84992,5484947.16672,26.3226756071633
"Tunisia",1491377.42027149,447413.226081447,3424.15,1532009.99808679,5838996.13452433,26.2375580115295
"Mexico",2662780.134,798834.0402,3416.05,2728857.02302521,10429550.6010499,26.1646654530879
"Belgium",242310.684,72693.2052,3416.05,248323.62362346,949080.06398436,26.1646654530879
"Guyana",16957.101,5087.1303,3412,17357.2885836,66431.1388776,26.1282417806821
"Marshall Islands",896.826,269.0478,3412,917.9910936,3513.4055376,26.128241780682
"Greenland",1183.707,355.1121,3409.3,1210.68368253,4637.92974498,26.1039676989592
"Jamaica",59445.519,17833.6557,3407.95,60776.206942815,232931.91610479,26.0918331670244
"Timor-Leste",27847.113,8354.1339,3403.9,28436.63638221,109138.96221186,26.0554396027781
"Australia",538634.208,161590.2624,3401.2,549600.80047488,2111316.82315008,26.0311855827908
"Korea, Dem. People's Rep.",548862.552,164658.7656,3401.2,560037.39355872,2151409.47682752,26.0311855827908
"Morocco",2560894.56,768268.368,3399.85,2611997.2109448,10038783.5020368,26.0190610786142
"Macao SAR, China",14393.4,4318.02,3398.5,14674.79097,56426.44602,26.0069382445221
"United States",6963132.12,2088939.636,3398.5,7099261.352946,27297566.850036,26.0069382445221
"Jordan",228169.788,68450.9364,3394.45,232353.28106298,894678.83742468,25.9705797593028
"Netherlands",366271.5,109881.45,3394.45,372987.0879525,1436190.841365,25.9705797593028
"Grenada",2443.161,732.9483,3389.05,2483.998436115,9582.54164259,25.9221251392717
"St. Lucia",3743.25,1122.975,3385,3801.270375,14684.76975,25.8858016823859
"Argentina",949031.265,284709.3795,3382.3,962972.53428285,3723562.1294781,25.8615943765069
"Mauritius",222169.483126244,66650.8449378731,3376.9,225073.238270704,871930.796866918,25.8131997492751
"Malta",10825.29,3247.587,3374.2,10958.0080554,42490.9952964,25.7890124224235
"Aruba",2280.327,684.0981,3372.85,2307.360276585,8951.26401561,25.7769212544868
"Ukraine",938280.294,281484.0882,3367.45,947883.59280909,3684166.95719394,25.7285732113251
"Dominica",1419.033,425.7099,3366.1,1432.98209439,5572.23040374,25.7164903559659
"Japan",2651481,795444.3,3364.75,2676471.208425,10412498.46105,25.7044091620937
"Belarus",196978.992,59093.6976,3363.4,198755.74250784,773599.53486144,25.6923296293656
"Armenia",62191.5,18657.45,3363.4,62752.46733,244245.92178,25.6923296293656
"French Polynesia",5863.389,1759.0167,3360.7,5911.52742369,23030.57111754,25.6681755459716
"Malaysia",711680.718,213504.2154,3344.5,714064.8484053,2797688.0705298,25.5233903996337
"Equatorial Guinea",36045.828,10813.7484,3337.75,36093.5887221,141748.4163186,25.4631336698496
"Lebanon",119750.358,35925.1074,3335.05,119812.02943437,470976.96051042,25.4390425604947
"New Caledonia",5967.696,1790.3088,3332.35,5965.93552968,23474.11124688,25.414958065656
"Virgin Islands (U.S.)",2232.09,669.627,3329.65,2229.62354055,8781.1983063,25.3908801826099
"Israel",193517.1,58055.13,3325.6,193068.140328,761466.566448,25.3547757491969
"Faroe Islands",1103.907,331.1721,3321.55,1100.004688755,4344.63574083,25.3186861770109
"St. Vincent and the Grenadines",2174.046,652.2138,3320.2,2165.48025876,8556.95809416,25.3066596205246
"Tuvalu",218.379,65.5137,3317.5,217.34169975,859.6489335,25.2826114568779
"Barbados",5915.658,1774.6974,3313.45,5880.37110003,23291.77939998,25.2465515796318
"Guam",3405.318,1021.5954,3312.1,3383.62612434,13408.71205044,25.2345349173858
"Russian Federation",3050148.108,915044.4324,3299.95,3019600.87469838,12017614.0470011,25.1264590699008
"Korea, Rep.",1088561.019,326568.3057,3298.6,1077218.21318202,4289235.21194532,25.1144588709432
"Yemen, Rep.",758832.123,227649.6369,3297.25,750617.765268525,2990215.92228765,25.1024603164533
"Libya",2043165.71,612949.713,3293.2,2018565.9948516,8052851.6027656,25.0664745164106
"Mongolia",69871.284,20961.3852,3289.15,68945.14013058,275444.47964628,25.0305035044151
"Curacao",3253.887,976.1661,3287.8,3209.43890358,12828.25426428,25.0185164517405
"Puerto Rico (US)",68913.39,20674.017,3283.75,67888.30332375,271742.7251175,24.9825651429658
"Isle of Man",1765.344,529.6032,3277,1735.5096864,6963.5759424,24.9226791056127
"Micronesia, Fed. Sts.",2329.236,698.7708,3277,2289.8719116,9187.9043256,24.9226791056127
"Tonga",2219.784,665.9352,3275.65,2181.37063788,8756.75930808,24.9107068167012
"Kazakhstan",409124.457,122737.3371,3274.3,401878.86286653,1614053.26028898,24.8987361665239
"Maldives",10544.478,3163.3434,3271.6,10349.19426744,41605.13595504,24.8747997810263
"St. Kitts and Nevis",984.27,295.281,3271.6,966.0413196,3883.6144536,24.8747997810263
"Bahamas, The",8313.123,2493.9369,3268.9,8152.43033241,32805.41224506,24.8508699464297
"Nauru",244.503,73.3509,3267.55,239.677733295,964.92864447,24.838907484879
"Seychelles",17344.788257729,5203.4364773187,3267.55,17002.4888614627,68451.033411245,24.838907484879
"British Virgin Islands",779.835,233.9505,3267.55,764.444956275,3077.61102915,24.838907484879
"Azerbaijan",211955.541,63586.6623,3267.55,207772.598398365,836480.42300109,24.838907484879
"Iraq",884448.705,265334.6115,3264.85,866277.706355775,3490945.57209615,24.8149874715926
"Uzbekistan",705313.812,211594.1436,3263.5,690537.4876386,2784085.2101076,24.8030299191853
"Antigua and Barbuda",1928.766,578.6298,3262.15,1887.57720207,7613.93879862,24.7910740024876
"Palau",373.632,112.0896,3262.15,365.65308864,1474.93847424,24.7910740024876
"Singapore",119401.947,35820.5841,3262.15,116852.118421815,471347.54391879,24.7910740024876
"Bermuda",1352.022,405.6066,3262.15,1323.14957019,5337.20148654,24.7910740024876
"Iran, Islamic Rep.",1842192.303,552657.6909,3262.15,1802852.28636943,7272183.06955371,24.7910740024876
"Turks and Caicos Islands",932.106,279.6318,3256.75,910.69086465,3680.5603569,24.7432666860826
"Hong Kong SAR, China",157101,47130.3,3254.05,153364.352715,620421.69819,24.7193728334165
"Kuwait",92405.607,27721.6821,3251.35,90132.891095835,364977.19813611,24.6954855141997
"Oman",94972.437,28491.7311,3251.35,92636.589911985,375115.48359201,24.6954855141997
"Turkmenistan",145948.152,43784.4456,3251.35,142358.55720156,576455.79439896,24.6954855141997
