Country,BaselinePredCO2_percap,DeltaCO2_per1ppRenewables,BaselineClsProb,PredCO2_plus20pp,ClsProb_plus20pp,PredCO2_plus10pp,PctReduction_plus10pp,ClsProb_plus10pp,PredCO2_plus5pp,ClsProb_plus5pp
"Palau",419521.518614526,5.82076609134674e-11,0,419521.518614526,0,419521.518614526,1.38747736005769e-14,0,419521.518614526,0
"Afghanistan",32325144.5407736,0,0,32325144.5407736,0,32325144.5407736,0,0,32325144.5407736,0
"Africa Eastern and Southern",1511957884.17999,0,0,1511957884.17999,0,1511957884.17999,0,0,1511957884.17999,0
"Africa Western and Central",1291479960.63071,0,0,1291479960.63071,0,1291479960.63071,0,0,1291479960.63071,0
"Albania",24688517.4302779,0,0,24688517.4302779,0,24688517.4302779,0,0,24688517.4302779,0
"Algeria",267066354.698002,0,0,267066354.698002,0,267066354.698002,0,0,267066354.698002,0
"American Samoa",1167896.34430389,0,0,1167896.34430389,0,1167896.34430389,0,0,1167896.34430389,0
"Andorra",4682922.09775768,0,0,4682922.09775768,0,4682922.09775768,0,0,4682922.09775768,0
"Angola",78564121.5138311,0,0,78564121.5138311,0,78564121.5138311,0,0,78564121.5138311,0
"Antigua and Barbuda",2286608.63924027,0,0,2286608.63924027,0,2286608.63924027,0,0,2286608.63924027,0
"Arab World",4205754583.67243,0,0,4205754583.67243,0,4205754583.67243,0,0,4205754583.67243,0
"Argentina",624832764.586024,0,0,624832764.586024,0,624832764.586024,0,0,624832764.586024,0
"Armenia",20477361.7160601,0,0,20477361.7160601,0,20477361.7160601,0,0,20477361.7160601,0
"Aruba",4020179.68552179,0,0,4020179.68552179,0,4020179.68552179,0,0,4020179.68552179,0
"Australia",2151800532.07972,0,0,2151800532.07972,0,2151800532.07972,0,0,2151800532.07972,0
"Austria",703648824.994671,0,0,703648824.994671,0,703648824.994671,0,0,703648824.994671,0
"Azerbaijan",69155260.9371216,0,0,69155260.9371216,0,69155260.9371216,0,0,69155260.9371216,0
"Bahamas, The",16786589.1233174,0,0,16786589.1233174,0,16786589.1233174,0,0,16786589.1233174,0
"Bahrain",58050755.2152844,0,0,58050755.2152844,0,58050755.2152844,0,0,58050755.2152844,0
"Bangladesh",605781866.501741,0,0,605781866.501741,0,605781866.501741,0,0,605781866.501741,0
"Barbados",8371823.51781445,0,0,8371823.51781445,0,8371823.51781445,0,0,8371823.51781445,0
"Belarus",99411474.4086792,0,0,99411474.4086792,0,99411474.4086792,0,0,99411474.4086792,0
"Belgium",858013240.408028,0,0,858013240.408028,0,858013240.408028,0,0,858013240.408028,0
"Belize",3309064.21349389,0,0,3309064.21349389,0,3309064.21349389,0,0,3309064.21349389,0
"Benin",25409803.318041,0,0,25409803.318041,0,25409803.318041,0,0,25409803.318041,0
"Bermuda",11156337.2639823,0,0,11156337.2639823,0,11156337.2639823,0,0,11156337.2639823,0
"Bhutan",3980894.31918567,0,0,3980894.31918567,0,3980894.31918567,0,0,3980894.31918567,0
"Bolivia",59333998.6392013,0,0,59333998.6392013,0,59333998.6392013,0,0,59333998.6392013,0
"Bosnia and Herzegovina",32762674.6955662,0,0,32762674.6955662,0,32762674.6955662,0,0,32762674.6955662,0
"Botswana",24233015.814048,0,0,24233015.814048,0,24233015.814048,0,0,24233015.814048,0
"Brazil",2391037859.60286,0,0,2391037859.60286,0,2391037859.60286,0,0,2391037859.60286,0
"British Virgin Islands",58413317.9333572,0,0,58413317.9333572,0,58413317.9333572,0,0,58413317.9333572,0
"Brunei Darussalam",19447315.878698,0,0,19447315.878698,0,19447315.878698,0,0,19447315.878698,0
"Bulgaria",114279829.899537,0,0,114279829.899537,0,114279829.899537,0,0,114279829.899537,0
"Burkina Faso",28711444.580617,0,0,28711444.580617,0,28711444.580617,0,0,28711444.580617,0
"Burundi",4292023.10360608,0,0,4292023.10360608,0,4292023.10360608,0,0,4292023.10360608,0
"Cabo Verde",2950621.85115702,0,0,2950621.85115702,0,2950621.85115702,0,0,2950621.85115702,0
"Cambodia",56399245.0268759,0,0,56399245.0268759,0,56399245.0268759,0,0,56399245.0268759,0
"Cameroon",66045583.1163613,0,0,66045583.1163613,0,66045583.1163613,0,0,66045583.1163613,0
"Canada",2681922296.32073,0,0,2681922296.32073,0,2681922296.32073,0,0,2681922296.32073,0
"Caribbean small states",86143280.827791,0,0,86143280.827791,0,86143280.827791,0,0,86143280.827791,0
"Cayman Islands",9160701.11063349,0,0,9160701.11063349,0,9160701.11063349,0,0,9160701.11063349,0
"Central African Republic",3768885.50846713,0,0,3768885.50846713,0,3768885.50846713,0,0,3768885.50846713,0
"Central Europe and the Baltics",2720936660.92365,0,0,2720936660.92365,0,2720936660.92365,0,0,2720936660.92365,0
"Chad",24188706.2525808,0,0,24188706.2525808,0,24188706.2525808,0,0,24188706.2525808,0
"Chile",411504267.084886,0,0,411504267.084886,0,411504267.084886,0,0,411504267.084886,0
"China",24291591650.3057,0,0,24291591650.3057,0,24291591650.3057,0,0,24291591650.3057,0
"Colombia",437917455.273024,0,0,437917455.273024,0,437917455.273024,0,0,437917455.273024,0
"Comoros",1984352.42233918,0,0,1984352.42233918,0,1984352.42233918,0,0,1984352.42233918,0
"Congo, Dem. Rep.",78913028.3482775,0,0,78913028.3482775,0,78913028.3482775,0,0,78913028.3482775,0
"Congo, Rep.",18577286.791661,0,0,18577286.791661,0,18577286.791661,0,0,18577286.791661,0
"Costa Rica",101070075.891897,0,0,101070075.891897,0,101070075.891897,0,0,101070075.891897,0
"Cote d'Ivoire",102094196.555305,0,0,102094196.555305,0,102094196.555305,0,0,102094196.555305,0
"Croatia",93890615.5816415,0,0,93890615.5816415,0,93890615.5816415,0,0,93890615.5816415,0
"Cuba",173891310.136868,0,0,173891310.136868,0,173891310.136868,0,0,173891310.136868,0
"Curacao",4105172.74851525,0,0,4105172.74851525,0,4105172.74851525,0,0,4105172.74851525,0
"Cyprus",41394824.0250069,0,0,41394824.0250069,0,41394824.0250069,0,0,41394824.0250069,0
"Czechia",406754128.121893,0,0,406754128.121893,0,406754128.121893,0,0,406754128.121893,0
"Denmark",576060618.12919,0,0,576060618.12919,0,576060618.12919,0,0,576060618.12919,0
"Djibouti",5092956.92028515,0,0,5092956.92028515,0,5092956.92028515,0,0,5092956.92028515,0
"Dominica",856799.630132596,0,0,856799.630132596,0,856799.630132596,0,0,856799.630132596,0
"Dominican Republic",127231995.977073,0,0,127231995.977073,0,127231995.977073,0,0,127231995.977073,0
"Early-demographic dividend",17882420635.2944,0,0,17882420635.2944,0,17882420635.2944,0,0,17882420635.2944,0
"East Asia & Pacific",44503666070.8866,0,0,44503666070.8866,0,44503666070.8866,0,0,44503666070.8866,0
"East Asia & Pacific (IDA & IBRD countries)",28806024652.3396,0,0,28806024652.3396,0,28806024652.3396,0,0,28806024652.3396,0
"East Asia & Pacific (excluding high income)",28841599806.6133,0,0,28841599806.6133,0,28841599806.6133,0,0,28841599806.6133,0
"Ecuador",155285450.717699,0,0,155285450.717699,0,155285450.717699,0,0,155285450.717699,0
"Egypt, Arab Rep.",621718372.442823,0,0,621718372.442823,0,621718372.442823,0,0,621718372.442823,0
"El Salvador",40368009.2636423,0,0,40368009.2636423,0,40368009.2636423,0,0,40368009.2636423,0
"Equatorial Guinea",16026268.3064839,0,0,16026268.3064839,0,16026268.3064839,0,0,16026268.3064839,0
"Eritrea",3344945.7812433,0,0,3344945.7812433,0,3344945.7812433,0,0,3344945.7812433,0
"Estonia",51544135.8267134,0,0,51544135.8267134,0,51544135.8267134,0,0,51544135.8267134,0
"Eswatini",6674693.576034,0,0,6674693.576034,0,6674693.576034,0,0,6674693.576034,0
"Ethiopia",174386859.205158,0,0,174386859.205158,0,174386859.205158,0,0,174386859.205158,0
"Euro area",21490002900.347,0,0,21490002900.347,0,21490002900.347,0,0,21490002900.347,0
"Europe & Central Asia",36102074334.8547,0,0,36102074334.8547,0,36102074334.8547,0,0,36102074334.8547,0
"Europe & Central Asia (IDA & IBRD countries)",6344342477.50102,0,0,6344342477.50102,0,6344342477.50102,0,0,6344342477.50102,0
"Europe & Central Asia (excluding high income)",2327920857.24588,0,0,2327920857.24588,0,2327920857.24588,0,0,2327920857.24588,0
"European Union",25116560627.1208,0,0,25116560627.1208,0,25116560627.1208,0,0,25116560627.1208,0
"Faroe Islands",5299771.79983174,0,0,5299771.79983174,0,5299771.79983174,0,0,5299771.79983174,0
"Fiji",7179828.27844804,0,0,7179828.27844804,0,7179828.27844804,0,0,7179828.27844804,0
"Finland",437353709.009575,0,0,437353709.009575,0,437353709.009575,0,0,437353709.009575,0
"Fragile and conflict affected situations",2728315109.92497,0,0,2728315109.92497,0,2728315109.92497,0,0,2728315109.92497,0
"France",4289181264.61555,0,0,4289181264.61555,0,4289181264.61555,0,0,4289181264.61555,0
"French Polynesia",9030246.68079344,0,0,9030246.68079344,0,9030246.68079344,0,0,9030246.68079344,0
"Gabon",24851764.5875875,0,0,24851764.5875875,0,24851764.5875875,0,0,24851764.5875875,0
"Gambia, The",2935403.87236505,0,0,2935403.87236505,0,2935403.87236505,0,0,2935403.87236505,0
"Georgia",25934834.1336863,0,0,25934834.1336863,0,25934834.1336863,0,0,25934834.1336863,0
"Germany",6382348003.10744,0,0,6382348003.10744,0,6382348003.10744,0,0,6382348003.10744,0
"Ghana",113401219.983803,0,0,113401219.983803,0,113401219.983803,0,0,113401219.983803,0
"Gibraltar",58413317.9334327,0,0,58413317.9334327,0,58413317.9334327,0,0,58413317.9334327,0
"Greece",309974869.88659,0,0,309974869.88659,0,309974869.88659,0,0,309974869.88659,0
"Greenland",5004659.2098335,0,0,5004659.2098335,0,5004659.2098335,0,0,5004659.2098335,0
"Grenada",1690146.45853671,0,0,1690146.45853671,0,1690146.45853671,0,0,1690146.45853671,0
"Guam",9582895.93391109,0,0,9582895.93391109,0,9582895.93391109,0,0,9582895.93391109,0
"Guatemala",125892061.590959,0,0,125892061.590959,0,125892061.590959,0,0,125892061.590959,0
"Guinea",22821242.265546,0,0,22821242.265546,0,22821242.265546,0,0,22821242.265546,0
"Guinea-Bissau",2727172.69842292,0,0,2727172.69842292,0,2727172.69842292,0,0,2727172.69842292,0
"Guyana",8862488.65012811,0,0,8862488.65012811,0,8862488.65012811,0,0,8862488.65012811,0
"Haiti",23500806.335091,0,0,23500806.335091,0,23500806.335091,0,0,23500806.335091,0
"Heavily indebted poor countries (HIPC)",1329356497.91327,0,0,1329356497.91327,0,1329356497.91327,0,0,1329356497.91327,0
"High income",90783136822.6361,0,0,90783136822.6361,0,90783136822.6361,0,0,90783136822.6361,0
"Honduras",37826569.71618,0,0,37826569.71618,0,37826569.71618,0,0,37826569.71618,0
"Hong Kong SAR, China",558748117.237388,0,0,558748117.237388,0,558748117.237388,0,0,558748117.237388,0
"Hungary",256691484.830937,0,0,256691484.830937,0,256691484.830937,0,0,256691484.830937,0
"IBRD only",49285349838.2712,0,0,49285349838.2712,0,49285349838.2712,0,0,49285349838.2712,0
"IDA & IBRD total",53267782359.5144,0,0,53267782359.5144,0,53267782359.5144,0,0,53267782359.5144,0
"IDA blend",1760978650.63105,0,0,1760978650.63105,0,1760978650.63105,0,0,1760978650.63105,0
"IDA only",2220280419.44447,0,0,2220280419.44447,0,2220280419.44447,0,0,2220280419.44447,0
"IDA total",3981259068.76303,0,0,3981259068.76303,0,3981259068.76303,0,0,3981259068.76303,0
"Iceland",35036776.5372448,0,0,35036776.5372448,0,35036776.5372448,0,0,35036776.5372448,0
"India",4332795841.38518,0,0,4332795841.38518,0,4332795841.38518,0,0,4332795841.38518,0
"Indonesia",1715485268.72956,0,0,1715485268.72956,0,1715485268.72956,0,0,1715485268.72956,0
"Iran, Islamic Rep.",424696162.681387,0,0,424696162.681387,0,424696162.681387,0,0,424696162.681387,0
"Iraq",293024696.467058,0,0,293024696.467058,0,293024696.467058,0,0,293024696.467058,0
"Ireland",707144276.571564,0,0,707144276.571564,0,707144276.571564,0,0,707144276.571564,0
"Isle of Man",10827288.3290036,0,0,10827288.3290036,0,10827288.3290036,0,0,10827288.3290036,0
"Israel",665373537.193697,0,0,665373537.193697,0,665373537.193697,0,0,665373537.193697,0
"Italy",3089788762.90346,0,0,3089788762.90346,0,3089788762.90346,0,0,3089788762.90346,0
"Jamaica",22373730.4846818,0,0,22373730.4846818,0,22373730.4846818,0,0,22373730.4846818,0
"Japan",8186714184.98795,0,0,8186714184.98795,0,8186714184.98795,0,0,8186714184.98795,0
"Jordan",70787046.8959441,0,0,70787046.8959441,0,70787046.8959441,0,0,70787046.8959441,0
"Kazakhstan",277123780.349004,0,0,277123780.349004,0,277123780.349004,0,0,277123780.349004,0
"Kenya",163047710.5004,0,0,163047710.5004,0,163047710.5004,0,0,163047710.5004,0
"Kiribati",357817.774355595,0,0,357817.774355595,0,357817.774355595,0,0,357817.774355595,0
"Korea, Dem. People's Rep.",58413315.8902181,0,0,58413315.8902181,0,58413315.8902181,0,0,58413315.8902181,0
"Korea, Rep.",2663501791.31408,0,0,2663501791.31408,0,2663501791.31408,0,0,2663501791.31408,0
"Kosovo",12500438.8833731,0,0,12500438.8833731,0,12500438.8833731,0,0,12500438.8833731,0
"Kuwait",179874416.624534,0,0,179874416.624534,0,179874416.624534,0,0,179874416.624534,0
"Kyrgyz Republic",13396726.496685,0,0,13396726.496685,0,13396726.496685,0,0,13396726.496685,0
"Lao PDR",30747235.3009577,0,0,30747235.3009577,0,30747235.3009577,0,0,30747235.3009577,0
"Late-demographic dividend",37033146434.1248,0,0,37033146434.1248,0,37033146434.1248,0,0,37033146434.1248,0
"Latin America & Caribbean",7784759606.38784,0,0,7784759606.38784,0,7784759606.38784,0,0,7784759606.38784,0
"Latin America & Caribbean (excluding high income)",6454081628.69314,0,0,6454081628.69314,0,6454081628.69314,0,0,6454081628.69314,0
"Latin America & the Caribbean (IDA & IBRD countries)",7389254580.59857,0,0,7389254580.59857,0,7389254580.59857,0,0,7389254580.59857,0
"Latvia",54069698.1718133,0,0,54069698.1718133,0,54069698.1718133,0,0,54069698.1718133,0
"Least developed countries: UN classification",1911006600.66054,0,0,1911006600.66054,0,1911006600.66054,0,0,1911006600.66054,0
"Lebanon",51368152.265556,0,0,51368152.265556,0,51368152.265556,0,0,51368152.265556,0
"Lesotho",3326638.9780748,0,0,3326638.9780748,0,3326638.9780748,0,0,3326638.9780748,0
"Liberia",5144775.02660471,0,0,5144775.02660471,0,5144775.02660471,0,0,5144775.02660471,0
"Libya",75895822.3521943,0,0,75895822.3521943,0,75895822.3521943,0,0,75895822.3521943,0
"Liechtenstein",10376400.7796011,0,0,10376400.7796011,0,10376400.7796011,0,0,10376400.7796011,0
"Lithuania",92997552.8154944,0,0,92997552.8154944,0,92997552.8154944,0,0,92997552.8154944,0
"Low & middle income",48056188480.7741,0,0,48056188480.7741,0,48056188480.7741,0,0,48056188480.7741,0
"Low income",552119869.814865,0,0,552119869.814865,0,552119869.814865,0,0,552119869.814865,0
"Lower middle income",9897553690.88689,0,0,9897553690.88689,0,9897553690.88689,0,0,9897553690.88689,0
"Luxembourg",119333899.586325,0,0,119333899.586325,0,119333899.586325,0,0,119333899.586325,0
"Macao SAR, China",41052120.7145128,0,0,41052120.7145128,0,41052120.7145128,0,0,41052120.7145128,0
"Madagascar",21141071.7099704,0,0,21141071.7099704,0,21141071.7099704,0,0,21141071.7099704,0
"Malawi",19064247.9448985,0,0,19064247.9448985,0,19064247.9448985,0,0,19064247.9448985,0
"Malaysia",546620496.10169,0,0,546620496.10169,0,546620496.10169,0,0,546620496.10169,0
"Maldives",6013777.22662134,0,0,6013777.22662134,0,6013777.22662134,0,0,6013777.22662134,0
"Mali",33528080.8421763,0,0,33528080.8421763,0,33528080.8421763,0,0,33528080.8421763,0
"Malta",26581196.0656185,0,0,26581196.0656185,0,26581196.0656185,0,0,26581196.0656185,0
"Marshall Islands",391675.400186063,0,0,391675.400186063,0,391675.400186063,0,0,391675.400186063,0
"Mauritania",13380988.0561816,0,0,13380988.0561816,0,13380988.0561816,0,0,13380988.0561816,0
"Mauritius",18479156.3941961,0,0,18479156.3941961,0,18479156.3941961,0,0,18479156.3941961,0
"Mexico",1815930610.72544,0,0,1815930610.72544,0,1815930610.72544,0,0,1815930610.72544,0
"Micronesia, Fed. Sts.",604039.029889266,0,0,604039.029889266,0,604039.029889266,0,0,604039.029889266,0
"Middle East, North Africa, Afghanistan & Pakistan",5768234826.95205,0,0,5768234826.95205,0,5768234826.95205,0,0,5768234826.95205,0
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",2646281112.40304,0,0,2646281112.40304,0,2646281112.40304,0,0,2646281112.40304,0
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",2671439774.06023,0,0,2671439774.06023,0,2671439774.06023,0,0,2671439774.06023,0
"Middle income",47500571785.1984,0,0,47500571785.1984,0,47500571785.1984,0,0,47500571785.1984,0
"Moldova",18677811.4877673,0,0,18677811.4877673,0,18677811.4877673,0,0,18677811.4877673,0
"Monaco",10902627.5110154,0,0,10902627.5110154,0,10902627.5110154,0,0,10902627.5110154,0
"Mongolia",21564723.550462,0,0,21564723.550462,0,21564723.550462,0,0,21564723.550462,0
